Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
27/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Djs Research Ltd,582817,138300,Dsit - Xstrategy Consumer Iot Leg-research And Development Expenditure,Sk6 7gh,Vendor
27/03/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Plexal (City) Ltd,582837,115787.5,Dsit - Xstrat Sconn Places (Alpha)-Other Professional Services,W1t 3jj,Vendor
27/03/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Government Communications Headquarters (Gchq),584226,122760,Dsit - Prod Testing -Evidence [Iot P]-Other Professional Services,Gl51 0ex,Vendor
25/03/2024,Parliamentary Counsel Services,Dsit - Corporate Services - Dsit - Legal Services,Cabinet Office,582858,359474,Dsit - Corporate Services Admin-parliamentary Counsel Services,Fy1 9jn,Wga Only
28/03/2024,Cl - Cash Cfers Paid Over To Hmt,Dsit - Digital And Technology Group - Dsit - Dtg Central,Consolidated Fund Account 6622,585530,8696741,Dsit - Bduk Grant In Aid Funding-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
25/03/2024,Training And Development Expenditure,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,582970,30506.31,Dsit - Corporate Services Admin-training And Development Expenditure,Np10 8fz,Wga Only
28/03/2024,Learning And Dev - Cs Skills,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,584769,121500,Dsit - Corporate Services Admin-learning And Dev - Cs Skills,Fy1 9jn,Wga Only
01/03/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Beruku Identity Ltd,569542,37472,Dsit - Digital Identity (Prog - Main)-Other Professional Services,Ct15 5ap,Vendor
04/03/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ericsson Ltd,575257,33166.67,Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Rg1 1lx,Vendor
18/03/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Npl Management Ltd,579810,97719.5,Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Tw11 0lw,Vendor
18/03/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Npl Management Ltd,579813,25000,Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Tw11 0lw,Vendor
