Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
04/06/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,599076,52000,Dsit - Nms Flow Programme At Nel-r&D Laboratory Services,G75 0qf,Vendor
04/06/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,599078,506918,Dsit - Nms Flow Programme At Nel-r&D Laboratory Services,G75 0qf,Vendor
04/06/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,599090,687499.47,Dsit - Nms Programme For Chemical & Biological Metrology At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
04/06/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,599094,137595,Dsit - Nms Government Chemist Programme At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
06/06/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,599131,4387431.09,Dsit - Met Office - Supercomputer R&D-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
03/06/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,599688,36098.6,Dsit - Met Office - Clean Air: Analysis & Solutions (Spf)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
03/06/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,599688,225131.97,Dsit - Met Office - Clean Air: Analysis & Solutions (Spf)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
06/06/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,599689,38287.14,Dsit - Met Office - Strategic Priorities Fund-r&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
06/06/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,599689,1086844.15,Dsit - Met Office - Strategic Priorities Fund-r&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
06/06/2024,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,599719,283333.33,Dsit - Space Weather Service-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
